ts_real,ts_ms,gsr_conductance_uS,gsr_resistance_ohm,gsr_voltage_V,airflow_voltage_V,ecg_voltage_V
18:35:46.216,20,0.0000,0.00,0.0000,0.0000,0.1613
18:35:46.218,40,0.0000,0.00,0.0000,0.0000,0.1808
18:35:46.218,60,0.0000,0.00,0.0000,0.0000,0.3079
18:35:46.220,80,0.0000,0.00,0.0000,0.0000,0.3666
18:35:46.222,100,0.0000,0.00,0.0000,0.0000,0.2688
18:35:46.222,120,0.0000,0.00,0.0000,0.0000,0.1515
18:35:46.224,140,0.0000,0.00,0.0000,0.0000,0.1613
18:35:46.226,160,0.0000,0.00,0.0000,0.0000,0.3324
18:35:46.230,180,0.0000,0.00,0.0000,0.0000,0.3861
18:35:46.232,200,0.0000,0.00,0.0000,0.0000,0.2590
18:35:46.263,220,0.0000,0.00,0.0000,0.0000,0.1662
18:35:46.284,240,0.0000,0.00,0.0000,0.0000,0.1760
18:35:46.287,260,0.0000,0.00,0.0000,0.0000,0.2835
18:35:46.298,280,0.0000,0.00,0.0000,0.0000,0.3715
18:35:46.329,300,0.0000,0.00,0.0000,0.0000,0.2786
18:35:46.344,320,0.0000,0.00,0.0000,0.0000,0.1564
18:35:46.362,340,0.0000,0.00,0.0000,0.0000,0.1906
18:35:46.385,360,0.0000,0.00,0.0000,0.0000,0.3030
18:35:46.390,380,0.0000,0.00,0.0000,0.0000,0.3617
18:35:46.396,400,0.0000,0.00,0.0000,0.0000,0.2688
18:35:46.402,420,0.0000,0.00,0.0000,0.0000,0.1466
18:35:46.406,440,0.0000,0.00,0.0000,0.0000,0.1662
18:35:46.410,460,0.0000,0.00,0.0000,0.0000,0.3421
18:35:46.416,480,0.0000,0.00,0.0000,0.0000,0.3763
18:35:46.418,500,0.0000,0.00,0.0000,0.0000,0.2542
18:35:46.418,520,0.0000,0.00,0.0000,0.0000,0.1613
18:35:46.420,540,0.0000,0.00,0.0000,0.0000,0.1808
18:35:46.420,560,0.0000,0.00,0.0000,0.0000,0.3030
18:35:46.420,580,0.0000,0.00,0.0000,0.0000,0.3666
18:35:46.422,600,0.0000,0.00,0.0000,0.0000,0.2737
18:35:46.422,620,0.0000,0.00,0.0000,0.0000,0.1564
18:35:46.424,640,0.0000,0.00,0.0000,0.0000,0.1613
18:35:46.424,660,0.0000,0.00,0.0000,0.0000,0.3275
18:35:46.457,680,0.0000,0.00,0.0000,0.0000,0.3568
18:35:46.473,700,0.0000,0.00,0.0000,0.0000,0.2590
18:35:46.481,720,0.0000,0.00,0.0000,0.0000,0.1466
18:35:46.517,740,0.0000,0.00,0.0000,0.0000,0.1711
18:35:46.522,760,0.0000,0.00,0.0000,0.0000,0.3470
18:35:46.558,780,0.0000,0.00,0.0000,0.0000,0.3763
18:35:46.563,800,0.0000,0.00,0.0000,0.0000,0.2444
18:35:46.580,820,0.0000,0.00,0.0000,0.0000,0.1564
18:35:46.633,840,0.0000,0.00,0.0000,0.0000,0.1906
18:35:46.644,860,0.0000,0.00,0.0000,0.0000,0.3177
18:35:46.647,880,0.0000,0.00,0.0000,0.0000,0.3666
18:35:46.679,900,0.0000,0.00,0.0000,0.0000,0.2688
18:35:46.690,920,0.0000,0.00,0.0000,0.0000,0.1466
18:35:46.721,940,0.0000,0.00,0.0000,0.0000,0.1662
18:35:46.737,960,0.0000,0.00,0.0000,0.0000,0.3372
18:35:46.743,980,0.0000,0.00,0.0000,0.0000,0.3568
18:35:46.759,1000,0.0000,0.00,0.0000,0.0000,0.2493
18:35:46.781,1020,0.0000,0.00,0.0000,0.0000,0.1417
18:35:46.822,1040,0.0000,0.00,0.0000,0.0000,0.1808
18:35:46.846,1060,0.0000,0.00,0.0000,0.0000,0.3568
18:35:46.848,1080,0.0000,0.00,0.0000,0.0000,0.3519
18:35:46.884,1100,0.0000,0.00,0.0000,0.0000,0.2346
18:35:46.897,1120,0.0000,0.00,0.0000,0.0000,0.1515
18:35:46.937,1140,0.0000,0.00,0.0000,0.0000,0.1955
18:35:46.948,1160,0.0000,0.00,0.0000,0.0000,0.3324
