ts_real,ts_ms,gsr_conductance_uS,gsr_resistance_ohm,gsr_voltage_V,airflow_voltage_V,ecg_voltage_V
20:26:52.114,20,0.0000,956074.62,0.5523,0.0000,0.0880
20:26:52.122,40,0.0000,0.00,0.0000,0.0000,0.0342
20:26:52.125,60,0.0000,0.00,0.0000,0.0000,0.0244
20:26:52.129,80,0.0000,0.00,0.0000,0.0000,0.0391
20:26:52.132,100,0.0000,0.00,0.0000,0.0000,0.0244
20:26:52.132,120,0.0000,874358.87,0.5523,0.0000,0.0147
20:26:52.132,140,1.2414,0.00,0.0000,0.0000,0.0147
20:26:52.134,160,0.0000,0.00,0.0000,0.0000,0.0635
20:26:52.134,180,0.0000,0.00,0.0000,0.0000,0.0978
20:26:52.134,200,0.0000,0.00,0.0000,0.0000,0.0684
20:26:52.143,220,0.0000,0.00,0.0000,0.0000,0.0489
20:26:52.143,240,1.0459,0.00,0.0000,0.0000,0.0440
20:26:52.143,260,0.0000,0.00,0.0000,0.0000,0.0782
20:26:52.145,280,0.0000,0.00,0.0000,0.0000,0.1026
20:26:52.145,300,0.0000,0.00,0.0000,0.0000,0.0880
20:26:52.145,320,0.0000,0.00,0.5572,0.0000,0.0440
20:26:52.145,340,0.0000,0.00,0.0000,0.0000,0.0538
20:26:52.165,360,0.0000,0.00,0.0000,0.0000,0.0831
20:26:52.185,380,0.0000,0.00,0.0000,0.0000,0.0587
20:26:52.189,400,0.0000,0.00,0.0000,0.0049,0.1026
20:26:52.206,420,1.0459,874358.87,0.5621,0.0000,0.0684
20:26:52.226,440,1.1437,0.00,0.0000,0.0000,0.1857
20:26:52.229,460,0.0000,0.00,0.0000,0.0000,0.1124
20:26:52.232,480,0.0000,0.00,0.0000,0.0000,0.0440
20:26:52.262,500,0.0000,0.00,0.0000,0.0000,0.0489
20:26:52.267,520,0.0000,874358.87,0.5572,0.0000,0.0244
20:26:52.271,540,0.0000,956074.62,0.0000,0.0000,0.0293
20:26:52.275,560,0.0000,0.00,0.0000,0.0000,0.2786
20:26:52.280,580,0.0000,0.00,0.0000,0.0000,1.3392
20:26:52.284,600,0.0000,0.00,0.0000,0.0000,0.1662
20:26:52.287,620,1.4369,547059.00,0.5816,0.0000,0.0049
20:26:52.290,640,1.7302,651592.43,0.5767,0.0000,0.0000
20:26:52.291,660,0.0000,0.00,0.0000,0.0000,0.0098
20:26:52.322,680,0.0000,0.00,0.0000,0.0000,0.0196
20:26:52.343,700,0.0000,0.00,0.0000,0.0000,0.0196
20:26:52.373,720,1.7302,471428.50,0.5914,0.0000,0.0098
20:26:52.385,740,1.8280,577966.25,0.5670,0.0000,0.0342
20:26:52.416,760,0.0000,0.00,0.0000,0.0000,0.0929
20:26:52.420,780,0.0000,0.00,0.0000,0.0000,0.1466
20:26:52.433,800,0.0000,0.00,0.5767,0.0000,0.1515
20:26:52.476,820,1.9257,431645.56,0.6109,0.0000,0.1320
20:26:52.483,840,2.2190,519289.18,0.5865,0.0000,0.0831
20:26:52.504,860,0.0000,0.00,0.0000,0.0000,0.0587
20:26:52.517,880,0.0000,0.00,0.0000,0.0000,0.0391
20:26:52.544,900,0.0000,956074.62,0.5572,0.0000,0.0196
20:26:52.556,920,2.3167,431645.56,0.6256,0.0000,0.0049
20:26:52.570,940,2.5122,414170.00,0.6012,0.0000,0.0049
20:26:52.616,960,0.0000,0.00,0.0000,0.0000,0.0489
20:26:52.620,980,0.0000,0.00,0.0000,0.0000,0.0733
20:26:52.650,1000,0.0000,746715.37,0.5816,0.0000,0.0489
20:26:52.662,1020,2.6100,398054.46,0.6354,0.0000,0.0440
20:26:52.679,1040,2.5122,450660.75,0.6061,0.0000,0.0587
20:26:52.696,1060,0.0000,0.00,0.0000,0.0000,0.1026
20:26:52.715,1080,0.0000,0.00,0.0000,0.0000,0.1075
20:26:52.735,1100,1.1437,746715.37,0.6012,0.0000,0.0391
20:26:52.773,1120,2.3167,356446.03,0.6305,0.0000,0.0489
20:26:52.774,1140,2.6100,450660.75,0.5963,0.0000,0.0538
20:26:52.804,1160,1.0459,0.00,0.0000,0.0000,0.0978
20:26:52.833,1180,0.0000,0.00,0.0000,0.0000,0.1173
20:26:52.850,1200,0.0000,651592.43,0.5865,0.0000,0.0635
20:26:52.855,1220,2.9032,322713.00,0.6549,0.0000,0.0635
20:26:52.874,1240,3.0987,344444.50,0.6305,0.0000,0.1173
20:26:52.905,1260,1.0459,0.00,0.0000,0.0000,0.0929
20:26:52.920,1280,0.0000,0.00,0.0000,0.0000,0.0538
20:26:52.964,1300,1.1437,519289.18,0.6109,0.0000,0.0244
20:26:52.976,1320,3.2942,312844.00,0.6598,0.0000,0.0196
20:26:53.009,1340,3.0987,356446.03,0.6158,0.0000,0.0342
20:26:53.019,1360,0.0000,0.00,0.0000,0.0000,0.3666
20:26:53.019,1380,0.0000,0.00,0.0000,0.0000,1.4076
20:26:53.036,1400,1.4369,450660.75,0.6256,0.0000,0.1613
20:26:53.072,1420,3.2942,312844.00,0.6647,0.0000,0.0049
20:26:53.097,1440,3.0010,383146.09,0.6061,0.0000,0.0000
20:26:53.099,1460,1.2414,0.00,0.0000,0.0000,0.0196
20:26:53.117,1480,0.0000,0.00,0.0000,0.0000,0.0244
20:26:53.165,1500,1.2414,494202.78,0.6158,0.0000,0.0293
20:26:53.183,1520,3.4897,294812.65,0.6794,0.0000,0.0244
20:26:53.192,1540,3.4897,303560.81,0.6305,0.0000,0.0538
20:26:53.213,1560,1.1437,0.00,0.0000,0.0000,0.1222
20:26:53.238,1580,0.0000,0.00,0.0000,0.0000,0.1808
20:26:53.243,1600,1.8280,431645.56,0.6403,0.0000,0.1711
20:26:53.256,1620,3.9785,271352.78,0.6843,0.0000,0.1613
20:26:53.271,1640,3.4897,322713.00,0.6305,0.0000,0.1124
