timestamp_real,tiempo_s,gsr_uS,ecg_V,airflow_raw
2026-04-05 23:54:35.128,0.020,49.9218,2.101662,363
2026-04-05 23:54:35.147,0.040,49.8729,2.507331,438
2026-04-05 23:54:35.178,0.060,49.8892,2.624633,468
2026-04-05 23:54:35.191,0.080,49.8974,2.649071,479
2026-04-05 23:54:35.217,0.100,49.8827,2.702835,501
2026-04-05 23:54:35.233,0.120,49.8827,2.849462,544
2026-04-05 23:54:35.251,0.140,49.9022,2.937439,571
2026-04-05 23:54:35.268,0.160,49.9022,2.878788,564
2026-04-05 23:54:35.304,0.180,49.8827,2.810362,547
2026-04-05 23:54:35.313,0.200,49.8827,2.829912,555
2026-04-05 23:54:35.341,0.220,49.8827,2.898338,574
2026-04-05 23:54:35.360,0.240,49.8827,3.015640,598
2026-04-05 23:54:35.380,0.260,49.8632,2.932551,586
2026-04-05 23:54:35.391,0.280,49.8827,2.815249,560
2026-04-05 23:54:35.409,0.300,49.8827,2.834799,563
2026-04-05 23:54:35.428,0.320,49.8827,2.932551,586
2026-04-05 23:54:35.458,0.340,49.8827,3.000977,604
2026-04-05 23:54:35.474,0.360,49.9022,2.927664,589
2026-04-05 23:54:35.496,0.380,49.9022,2.844575,566
2026-04-05 23:54:35.514,0.400,49.9022,2.849462,567
2026-04-05 23:54:35.529,0.421,49.9414,2.956989,594
2026-04-05 23:54:35.546,0.441,49.9414,3.000977,603
2026-04-05 23:54:35.587,0.461,49.9414,2.908113,582
2026-04-05 23:54:35.597,0.481,49.9218,2.825024,563
2026-04-05 23:54:35.625,0.501,49.9218,2.888563,577
2026-04-05 23:54:35.640,0.521,49.8632,2.976540,600
2026-04-05 23:54:35.660,0.541,49.8436,2.991202,603
2026-04-05 23:54:35.669,0.561,49.8436,2.922776,589
2026-04-05 23:54:35.696,0.581,49.8631,2.815249,563
2026-04-05 23:54:35.724,0.601,49.8631,2.878788,575
2026-04-05 23:54:35.747,0.621,49.8631,2.996090,603
2026-04-05 23:54:35.756,0.641,49.8827,2.996090,605
2026-04-05 23:54:35.779,0.661,49.8827,2.913001,587
2026-04-05 23:54:35.791,0.681,49.8632,2.829912,565
2026-04-05 23:54:35.811,0.701,49.8827,2.883676,577
2026-04-05 23:54:35.838,0.721,49.8827,2.971652,601
2026-04-05 23:54:35.861,0.741,49.8827,3.000977,604
2026-04-05 23:54:35.878,0.762,49.8632,2.898338,582
2026-04-05 23:54:35.903,0.782,49.8632,2.825024,566
2026-04-05 23:54:35.912,0.802,49.8632,2.917889,583
2026-04-05 23:54:35.929,0.822,49.9022,3.015640,608
2026-04-05 23:54:35.957,0.842,49.9022,2.961877,599
2026-04-05 23:54:35.975,0.862,49.9218,2.883676,576
2026-04-05 23:54:36.002,0.882,49.9218,2.839687,568
2026-04-05 23:54:36.019,0.902,49.9022,2.913001,583
2026-04-05 23:54:36.036,0.922,49.8827,3.025415,609
2026-04-05 23:54:36.050,0.942,49.8827,2.971652,599
2026-04-05 23:54:36.078,0.962,49.8632,2.864125,573
2026-04-05 23:54:36.101,0.982,49.8632,2.839687,566
2026-04-05 23:54:36.119,1.002,49.8632,2.922776,583
2026-04-05 23:54:36.137,1.022,49.8436,3.015640,608
2026-04-05 23:54:36.160,1.042,49.8436,2.971652,599
2026-04-05 23:54:36.171,1.062,49.8436,2.893451,579
2026-04-05 23:54:36.192,1.082,49.8436,2.844575,568
2026-04-05 23:54:36.218,1.103,49.8436,2.927664,587
2026-04-05 23:54:36.240,1.123,49.9022,3.030303,610
2026-04-05 23:54:36.261,1.143,49.9022,2.937439,594
2026-04-05 23:54:36.273,1.163,49.9218,2.844575,569
2026-04-05 23:54:36.304,1.183,49.9218,2.878788,575
2026-04-05 23:54:36.315,1.203,49.9218,2.952102,594
2026-04-05 23:54:36.329,1.223,49.8827,3.025415,609
2026-04-05 23:54:36.363,1.243,49.8827,2.952102,595
2026-04-05 23:54:36.375,1.263,49.8632,2.829912,568
2026-04-05 23:54:36.410,1.283,49.8632,2.873900,574
2026-04-05 23:54:36.426,1.303,49.8632,2.971652,599
2026-04-05 23:54:36.446,1.323,49.8632,3.025415,612
2026-04-05 23:54:36.455,1.343,49.8632,2.937439,594
2026-04-05 23:54:36.473,1.363,49.8632,2.849462,570
2026-04-05 23:54:36.502,1.383,49.8632,2.873900,575
2026-04-05 23:54:36.526,1.403,49.8827,2.942327,591
2026-04-05 23:54:36.533,1.423,49.8827,3.030303,610
2026-04-05 23:54:36.569,1.443,49.8827,2.937439,594
2026-04-05 23:54:36.587,1.463,49.9022,2.839687,570
2026-04-05 23:54:36.606,1.483,49.9022,2.883676,576
2026-04-05 23:54:36.615,1.503,49.8827,2.961877,597
2026-04-05 23:54:36.633,1.523,49.8827,3.020528,608
2026-04-05 23:54:36.666,1.543,49.8827,2.947214,594
2026-04-05 23:54:36.689,1.563,49.8632,2.834799,567
2026-04-05 23:54:36.706,1.583,49.9022,2.873900,575
2026-04-05 23:54:36.728,1.603,49.9022,2.986315,601
2026-04-05 23:54:36.741,1.623,49.9022,3.020528,611
2026-04-05 23:54:36.763,1.643,49.8827,2.932551,594
2026-04-05 23:54:36.776,1.663,49.8827,2.844575,570
2026-04-05 23:54:36.795,1.683,49.8436,2.888563,576
2026-04-05 23:54:36.818,1.703,49.8436,2.952102,596
2026-04-05 23:54:36.836,1.723,49.8436,3.020528,609
2026-04-05 23:54:36.865,1.743,49.8632,2.952102,595
2026-04-05 23:54:36.875,1.763,49.8827,2.829912,569
2026-04-05 23:54:36.907,1.783,49.9022,2.883676,577
2026-04-05 23:54:36.915,1.803,49.9218,2.971652,599
2026-04-05 23:54:36.933,1.823,49.9218,3.010753,607
2026-04-05 23:54:36.962,1.843,49.9022,2.937439,593
2026-04-05 23:54:36.986,1.863,49.8827,2.825024,566
2026-04-05 23:54:36.997,1.883,49.8827,2.878788,576
2026-04-05 23:54:37.028,1.903,49.8632,2.991202,603
2026-04-05 23:54:37.036,1.923,49.8632,3.015640,610
