ts_real,ts_ms,gsr_conductance_uS,gsr_resistance_ohm,gsr_voltage_V,airflow_voltage_V,ecg_voltage_V
20:00:11.458,20,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.473,40,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.487,60,1.3392,431645.56,0.6794,0.0000,0.0000
20:00:11.504,80,4.4673,264341.09,0.6745,0.0000,0.0000
20:00:11.521,100,2.6100,805511.81,0.0000,0.0000,0.0000
20:00:11.534,120,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.541,140,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.543,160,2.2190,312844.00,0.7087,0.0000,0.0000
20:00:11.543,180,4.5650,257682.60,0.6843,0.0000,0.0000
20:00:11.558,200,2.0235,0.00,0.0000,0.0000,0.0000
20:00:11.558,220,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.560,240,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.560,260,1.2414,431645.56,0.6745,0.0000,0.0000
20:00:11.560,280,4.2717,251351.35,0.6647,0.0000,0.0000
20:00:11.560,300,2.8055,651592.43,0.0000,0.0000,0.0000
20:00:11.560,320,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.560,340,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.560,360,2.0235,333224.81,0.6940,0.0000,0.0000
20:00:11.560,380,4.0762,286554.59,0.6549,0.0000,0.0000
20:00:11.560,400,2.0235,0.00,0.0000,0.0000,0.0000
20:00:11.560,420,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.570,440,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.570,460,2.6100,271352.78,0.6989,0.0000,0.0000
20:00:11.570,480,4.0762,286554.59,0.6549,0.0000,0.0000
20:00:11.570,500,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.585,520,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.606,540,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.617,560,1.7302,369314.12,0.6794,0.0000,0.0000
20:00:11.617,580,3.5875,294812.65,0.6354,0.0000,0.0000
20:00:11.617,600,1.8280,0.00,0.0000,0.0000,0.0000
20:00:11.649,620,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.651,640,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.665,660,2.2190,294812.65,0.6843,0.0000,0.0000
20:00:11.682,680,3.1965,344444.50,0.6158,0.0000,0.0000
20:00:11.698,700,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.704,720,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.704,740,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.712,760,2.9032,264341.09,0.6940,0.0000,0.0000
20:00:11.773,780,3.4897,312844.00,0.6403,0.0000,0.0000
20:00:11.776,800,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.793,820,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.810,840,0.0000,0.00,0.0000,0.0000,0.0000
20:00:11.827,860,2.5122,286554.59,0.7087,0.0000,0.0000
20:00:11.840,880,3.5875,303560.81,0.6256,0.0000,0.0000
