ts_real,ts_ms,gsr_conductance_uS,gsr_resistance_ohm,gsr_voltage_V,airflow_voltage_V,ecg_voltage_V
18:31:41.366,20,0.0000,0.00,0.0000,0.0000,0.2199
18:31:41.366,40,0.0000,0.00,0.0000,0.0000,0.1564
18:31:41.369,60,0.0000,0.00,0.0000,0.0000,0.2590
18:31:41.369,80,0.0000,0.00,0.0000,0.0000,0.4106
18:31:41.369,100,0.0000,0.00,0.0000,0.0000,0.3470
18:31:41.369,120,0.0000,0.00,0.0000,0.0000,0.2053
18:31:41.369,140,0.0000,0.00,0.0000,0.0000,0.1515
18:31:41.369,160,0.0000,0.00,0.0000,0.0000,0.2786
18:31:41.369,180,0.0000,0.00,0.0000,0.0000,0.3812
18:31:41.376,200,0.0000,0.00,0.0000,0.0000,0.3275
18:31:41.398,220,0.0000,0.00,0.0000,0.0000,0.2248
18:31:41.413,240,0.0000,0.00,0.0000,0.0000,0.1515
18:31:41.434,260,0.0000,0.00,0.0000,0.0000,0.2444
18:31:41.443,280,0.0000,0.00,0.0000,0.0000,0.4057
18:31:41.460,300,0.0000,0.00,0.0000,0.0000,0.3568
18:31:41.468,320,0.0000,0.00,0.0000,0.0000,0.2102
18:31:41.474,340,0.0000,0.00,0.0000,0.0000,0.1564
18:31:41.485,360,0.0000,0.00,0.0000,0.0000,0.2688
18:31:41.491,380,0.0000,0.00,0.0000,0.0000,0.4106
18:31:41.493,400,0.0000,0.00,0.0000,0.0000,0.3226
18:31:41.507,420,0.0000,0.00,0.0000,0.0000,0.2004
18:31:41.521,440,0.0000,0.00,0.0000,0.0000,0.1515
18:31:41.529,460,0.0000,0.00,0.0000,0.0000,0.2884
18:31:41.540,480,0.0000,0.00,0.0000,0.0000,0.4008
18:31:41.543,500,0.0000,0.00,0.0000,0.0000,0.3226
18:31:41.549,520,0.0000,0.00,0.0000,0.0000,0.2199
18:31:41.553,540,0.0000,0.00,0.0000,0.0000,0.1564
18:31:41.553,560,0.0000,0.00,0.0000,0.0000,0.2542
18:31:41.558,580,0.0000,0.00,0.0000,0.0000,0.4057
18:31:41.561,600,0.0000,0.00,0.0000,0.0000,0.3421
18:31:41.561,620,0.0000,0.00,0.0000,0.0000,0.2053
18:31:41.561,640,0.0000,0.00,0.0000,0.0000,0.1515
18:31:41.575,660,0.0000,0.00,0.0000,0.0000,0.2786
18:31:41.605,680,0.0000,0.00,0.0000,0.0000,0.4057
18:31:41.605,700,0.0000,0.00,0.0000,0.0000,0.3177
18:31:41.644,720,0.0000,0.00,0.0000,0.0000,0.1955
18:31:41.675,740,0.0000,0.00,0.0000,0.0000,0.1515
18:31:41.677,760,0.0000,0.00,0.0000,0.0000,0.2981
18:31:41.683,780,0.0000,0.00,0.0000,0.0000,0.4057
18:31:41.737,800,0.0000,0.00,0.0000,0.0000,0.3177
18:31:41.741,820,0.0000,0.00,0.0000,0.0000,0.1760
18:31:41.765,840,0.0000,0.00,0.0000,0.0000,0.1613
