ts_real,ts_ms,gsr_conductance_uS,gsr_resistance_ohm,gsr_voltage_V,airflow_voltage_V,ecg_voltage_V
18:42:04.866,20,0.0000,0.00,0.0000,0.0929,0.4008
18:42:04.876,40,0.0000,0.00,0.0000,0.1026,0.5327
18:42:04.881,60,0.0000,0.00,0.0000,0.1173,0.4154
18:42:04.881,80,0.0000,0.00,0.0000,0.0929,0.2395
18:42:04.881,100,0.0000,0.00,0.0000,0.0684,0.2248
18:42:04.881,120,0.0000,0.00,0.0000,0.0929,0.4350
18:42:04.889,140,0.0000,0.00,0.0000,0.1075,0.5376
18:42:04.889,160,0.0000,0.00,0.0000,0.0831,0.3910
18:42:04.892,180,0.0000,0.00,0.0000,0.1075,0.2590
18:42:04.893,200,0.0000,0.00,0.0000,0.1124,0.2444
18:42:04.901,220,0.0000,0.00,0.0000,0.1026,0.4057
18:42:04.901,240,0.0000,0.00,0.0000,0.0929,0.5327
18:42:04.901,260,0.0000,0.00,0.0000,0.0880,0.4154
18:42:04.904,280,0.0000,0.00,0.0000,0.1075,0.2395
18:42:04.906,300,0.0000,0.00,0.0000,0.0929,0.2297
18:42:04.906,320,0.0000,0.00,0.0000,0.1173,0.4399
18:42:04.909,340,0.0000,0.00,0.0000,0.0978,0.5181
18:42:04.910,360,0.0000,0.00,0.0000,0.1075,0.3910
18:42:04.910,380,0.0000,0.00,0.0000,0.1124,0.2248
18:42:04.910,400,0.0000,0.00,0.0000,0.0978,0.2346
18:42:04.912,420,0.0000,0.00,0.0000,0.1271,0.4692
18:42:04.927,440,0.0000,0.00,0.0000,0.0978,0.5327
18:42:04.943,460,0.0000,0.00,0.0000,0.0929,0.3666
18:42:04.961,480,0.0000,0.00,0.0000,0.0684,0.2444
18:42:04.967,500,0.0000,0.00,0.0000,0.0978,0.2639
18:42:04.975,520,0.0000,0.00,0.0000,0.0733,0.4350
18:42:05.001,540,0.0000,0.00,0.0000,0.1075,0.5181
18:42:05.025,560,0.0000,0.00,0.0000,0.1075,0.3861
18:42:05.027,580,0.0000,0.00,0.0000,0.1173,0.2248
18:42:05.048,600,0.0000,0.00,0.0000,0.1026,0.2444
18:42:05.060,620,0.0000,0.00,0.0000,0.1026,0.4643
18:42:05.074,640,0.0000,0.00,0.0000,0.1075,0.5327
18:42:05.074,660,0.0000,0.00,0.0000,0.1124,0.3617
18:42:05.074,680,0.0000,0.00,0.0000,0.1124,0.2151
18:42:05.093,700,0.0000,0.00,0.0000,0.1026,0.2688
18:42:05.093,720,0.0000,0.00,0.0000,0.1222,0.4936
18:42:05.093,740,0.0000,0.00,0.0000,0.1271,0.5181
18:42:05.106,760,0.0000,0.00,0.0000,0.1271,0.3372
18:42:05.106,780,0.0000,0.00,0.0000,0.0929,0.2248
18:42:05.106,800,0.0000,0.00,0.0000,0.0978,0.2981
18:42:05.106,820,0.0000,0.00,0.0000,0.0684,0.4692
18:42:05.106,840,0.0000,0.00,0.0000,0.1124,0.4985
18:42:05.106,860,0.0000,0.00,0.0000,0.1124,0.3666
18:42:05.120,880,0.0000,0.00,0.0000,0.0978,0.2151
18:42:05.153,900,0.0000,0.00,0.0000,0.0880,0.2688
18:42:05.170,920,0.0000,0.00,0.0000,0.0929,0.4985
18:42:05.200,940,0.0000,0.00,0.0000,0.1271,0.5181
18:42:05.216,960,0.0000,0.00,0.0000,0.1417,0.3372
18:42:05.234,980,0.0000,0.00,0.0000,0.1222,0.2102
18:42:05.249,1000,0.0000,0.00,0.0000,0.1173,0.2981
18:42:05.264,1020,0.0000,0.00,0.0000,0.0880,0.5279
18:42:05.281,1040,0.0000,0.00,0.0000,0.0880,0.4985
18:42:05.311,1060,0.0000,0.00,0.0000,0.1075,0.3128
18:42:05.344,1080,0.0000,0.00,0.0000,0.0880,0.2151
18:42:05.348,1100,0.0000,0.00,0.0000,0.1124,0.3275
18:42:05.378,1120,0.0000,0.00,0.0000,0.0929,0.4790
18:42:05.396,1140,0.0000,0.00,0.0000,0.0880,0.4741
18:42:05.413,1160,0.0000,0.00,0.0000,0.0978,0.3372
18:42:05.442,1180,0.0000,0.00,0.0000,0.1026,0.2102
18:42:05.446,1200,0.0000,0.00,0.0000,0.1222,0.2981
18:42:05.463,1220,0.0000,0.00,0.0000,0.1026,0.5034
18:42:05.502,1240,0.0000,0.00,0.0000,0.0929,0.4985
18:42:05.511,1260,0.0000,0.00,0.0000,0.1075,0.3128
18:42:05.538,1280,0.0000,0.00,0.0000,0.1026,0.2151
18:42:05.561,1300,0.0000,0.00,0.0000,0.0929,0.3275
18:42:05.578,1320,0.0000,0.00,0.0000,0.1271,0.5230
18:42:05.592,1340,0.0000,0.00,0.0000,0.1271,0.4741
18:42:05.611,1360,0.0000,0.00,0.0000,0.1320,0.2884
18:42:05.638,1380,0.0000,0.00,0.0000,0.1466,0.2102
